Element,Property,Nominal ,Actual ,Tol - ,Tol +,Dev,Check,Out
Datum D,Parallelism,0,"0,064",0,"0,1","0,064","0,064","-0,1"
Datum D,Flatness,0,"0,042",0,"0,01","0,042","0,042","0,032"
